event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR209605,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Sumskyi,Sumska,Sumy,50.9216,34.8003,1,24 Channel; Suspilne Media; ZMINA,Other-National,"On 17 February 2025, Russian Forces launched drone strikes at Sumy, Sumy, damaging a gas station and a car. No casualties.",0,,1740519999
UKR209606,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Illinivska,Tarasivka,48.3489,37.5513,2,Institute for the Study of War,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Tarasivka, Donetsk. Casualties unknown.",0,,1740519999
UKR209607,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Beryslavskyi,Tiahynska,Tiahynka,46.7814,33.0559,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Tiahynka, Kherson. Casualties unknown.",0,,1740519999
UKR209608,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Kherson,Khersonskyi,Darivska,Tokarivka,46.7504,32.9513,2,Ministry of Defence of Russia,Regional,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Ukrainian positions near Tokarivka, Kherson. According to Russian sources, 70 Ukrainian soldiers were killed in the area of Novoandriivka, Novodanylivka, Tokarivka, Mykilske and Prydniprovske [Russian MoD reported 70 fatalities. Coded as 10 fatalities split across 5 events. 2 fatalities coded to this event].",2,,1740519999
UKR209609,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Chernihiv,Chernihivskyi,Olyshivska,Topchiivka,51.2337,31.234,2,Ministry of Defence of Ukraine,Other,"On 17 February 2025, the fallen debris of suspected Russian cruise missile damaged transport infrastructure and a truck near Topchiivka, Chernihiv. Casualties unknown.",0,,1740519999
UKR209610,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Kharkiv,Kupianskyi,Dvorichanska,Topoli,49.9623,37.9074,2,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Topoli, Kharkiv. Casualties unknown.",0,,1740519999
UKR209611,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Toretska,Toretsk,48.3934,37.8453,2,Institute for the Study of War; Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Toretsk, Donetsk. Casualties unknown.",0,,1740519999
UKR209612,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Sumskyi,Krasnopilska,Turia,50.8952,35.3546,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched suspected drone strikes at Turia, Sumy. Casualties unknown.",0,,1740519999
UKR209613,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kharkiv,Bohodukhivskyi,Zolochivska,Tymofiivka,50.3579,35.7861,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched suspected drone strikes and shelled Tymofiivka, Kharkiv, with suspected 82mm mortars. Casualties unknown.",0,,1740519999
UKR209614,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Tymonovychi,52.2958,32.4303,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces shelled Tymonovychi, Chernihiv, with suspected 120mm mortars. Casualties unknown.",0,,1740519999
UKR209615,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Udachnenska,Udachne,48.2405,36.9911,2,Institute for the Study of War; Ministry of Defence of Russia; Ministry of Defence of Ukraine,Other-Regional,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Udachne, Donetsk. 163 Russian soldiers were killed and 162 Russian soldiers were injured in the area of Myroliubivka, Yelyzavetivka, Promin, Lysivka, Novoukrainka, Pischane, Kotlyne, Udachne, Uspenivka, Nadiivka, Yasenove, Ulakly, Andriivka and Dachne (coded as 163 fatalities split across 14 events. 12 fatalities coded to this event). Ukrainian Forces destroyed a tank, 7 UAVs, a mortar system and 2 vehicles of Russian Forces in Pokrovsk direction. According to Russian sources, 295 Ukrainian soldiers, including from the territorial defense units (coded to Myroliubivka) were killed in the area of Myroliubivka, Yelyzavetivka, Udachne, Uspenivka, Nadiivka, Andriivka, Myrnohrad, Zvirove and Novoandriivka [Russian MoD reported 295 fatalities. Coded as 10 fatalities split across 9 events. 1 fatality coded to this event]. Overall fatalities coded as 13.",13,,1740519999
UKR209616,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,Ulakly,47.9974,37.0851,2,Deep State; Institute for the Study of War; Ministry of Defence of Russia; Ministry of Defence of Ukraine; WarGonzo,Other-National,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions and advanced near Ulakly, Donetsk. 163 Russian soldiers were killed and 162 Russian soldiers were injured in the area of Myroliubivka, Yelyzavetivka, Promin, Lysivka, Novoukrainka, Pischane, Kotlyne, Udachne, Uspenivka, Nadiivka, Yasenove, Ulakly, Andriivka and Dachne (coded as 163 fatalities split across 14 events. 11 fatalities coded to this event). Ukrainian Forces destroyed a tank, 7 UAVs, a mortar system and 2 vehicles of Russian Forces in Pokrovsk direction. According to Russian sources, 210 Ukrainian soldiers, including from the territorial defense units (coded to Chasiv Yar) were killed in the area of Chasiv Yar, Ulakly, Kostiantynivka, Ivanopillia and Siversk [Russian MoD reported 210 fatalities. Coded as 10 fatalities split across 5 events. 2 fatalities coded to this event]. Overall fatalities coded as 13.",13,,1740519999
UKR209617,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Kurakhivska,Uspenivka,47.917,37.2297,2,Institute for the Study of War; Ministry of Defence of Russia; Ministry of Defence of Ukraine,Other-Regional,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Uspenivka, Donetsk. 163 Russian soldiers were killed and 162 Russian soldiers were injured in the area of Myroliubivka, Yelyzavetivka, Promin, Lysivka, Novoukrainka, Pischane, Kotlyne, Udachne, Uspenivka, Nadiivka, Yasenove, Ulakly, Andriivka and Dachne (coded as 163 fatalities split across 14 events. 12 fatalities coded to this event). Ukrainian Forces destroyed a tank, 7 UAVs, a mortar system and 2 vehicles of Russian Forces in Pokrovsk direction. According to Russian sources, 295 Ukrainian soldiers, including from the territorial defense units (coded to Myroliubivka) were killed in the area of Myroliubivka, Yelyzavetivka, Udachne, Uspenivka, Nadiivka, Andriivka, Myrnohrad, Zvirove and Novoandriivka [Russian MoD reported 295 fatalities. Coded as 10 fatalities split across 9 events. 1 fatality coded to this event]. Overall fatalities coded as 13.",13,,1740519999
UKR209618,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Soledarska,Vasyukivka,48.74,37.9954,2,Institute for the Study of War; Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Vasyukivka, Donetsk. According to Ukrainian Forces, Russian Forces used civilian vehicles and motorcycles to transport infantry, and Ukrainian Forces destroyed 10 motorcycles and a civilian vehicle in the area. Casualties unknown.",0,,1740519999
UKR209619,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Okhtyrskyi,Velykopysarivska,Velyka Pysarivka,50.4243,35.4799,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces shelled Velyka Pysarivka, Sumy, with suspected 122mm artillery. Casualties unknown.",0,,1740519999
UKR209620,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Sumskyi,Myropilska,Velykyi Prykil,50.9291,35.2543,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces shelled Velykyi Prykil, Sumy, with suspected 120mm mortars. Casualties unknown.",0,,1740519999
UKR209621,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Zvanivska,Verkhnokamianske,48.859,38.1962,2,Institute for the Study of War,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Verkhnokamianske, Donetsk. Casualties unknown.",0,,1740519999
UKR209622,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Beryslavskyi,Velykooleksandrivska,Vesele,47.4392,33.0446,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Vesele, Kherson. Casualties unknown.",0,,1740519999
UKR209623,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Sumy,Sumskyi,Khotinska,Veselivka,51.2012,34.936,2,Ministry of Defence of Russia,Regional,"On 17 February 2025, Russian Forces launched air strikes and shelled Ukrainian positions near Veselivka, Sumy, with artillery. Casualties unknown.",0,,1740519999
UKR209624,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,Veterynarne,50.3907,36.1953,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched air strikes at Veterynarne, Kharkiv, with unguided aerial bombs. Casualties unknown.",0,,1740519999
UKR209625,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kharkiv,Bohodukhivskyi,Zolochivska,Vidrodzhenivske,50.3322,35.7547,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched a suspected FPV drone strike at Vidrodzhenivske, Kharkiv, damaging a house. Casualties unknown.",0,,1740519999
